 INFO  Accepting connections at http://localhost:3000
 HTTP  5/28/2026 1:24:04 PM ::1 GET /card.html?room=verification-room
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 301 in 16 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /card
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 6 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /css/style.css
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/bingo-core.js
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/storage.js
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/sync.js
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 9 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 10 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 9 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/firebase-config.js
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /assets/images/daub1.png
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /sw.js
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /index.html
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 301 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /card.html
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 301 in 0 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /css/style.css
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /index
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 301 in 0 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /card
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/bingo-core.js
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/storage.js
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/sync.js
 HTTP  5/28/2026 1:24:04 PM ::1 GET /js/firebase-config.js
 HTTP  5/28/2026 1:24:04 PM ::1 GET /assets/images/daub1.png
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 304 in 2 ms
 HTTP  5/28/2026 1:24:04 PM ::1 GET /assets/images/icon.svg
 HTTP  5/28/2026 1:24:04 PM ::1 GET /assets/images/icon-maskable.svg
 HTTP  5/28/2026 1:24:04 PM ::1 GET /manifest.json
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 3 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 4 ms
 HTTP  5/28/2026 1:24:04 PM ::1 Returned 200 in 4 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /card.html?room=verification-room&u=aa94036e-5a46-4559-b077-4619b41450eb
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 301 in 0 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /card
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 0 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /css/style.css
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/bingo-core.js
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/storage.js
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/sync.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 2 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/firebase-config.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /assets/images/daub1.png
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /sw.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /index.html
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 301 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /card.html
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 301 in 0 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /index
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 301 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /card
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /css/style.css
 HTTP  5/28/2026 1:24:10 PM ::1 GET /
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 3 ms
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 2 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/bingo-core.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/storage.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/sync.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /js/firebase-config.js
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 0 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /assets/images/icon.svg
 HTTP  5/28/2026 1:24:10 PM ::1 GET /assets/images/daub1.png
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 304 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /assets/images/icon-maskable.svg
 HTTP  5/28/2026 1:24:10 PM ::1 Returned 200 in 1 ms
 HTTP  5/28/2026 1:24:10 PM ::1 GET /manifest.json
