
> BingoCardGenerator@1.0.0 start
> npx serve src

npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/18/2026 4:56:57 AM ::1 GET /
 HTTP  5/18/2026 4:56:57 AM ::1 Returned 200 in 284 ms
 HTTP  5/18/2026 4:56:57 AM ::1 GET /css/style.css
 HTTP  5/18/2026 4:56:57 AM ::1 Returned 200 in 2 ms
 HTTP  5/18/2026 4:56:57 AM ::1 GET /js/bingo-core.js
 HTTP  5/18/2026 4:56:57 AM ::1 GET /js/storage.js
 HTTP  5/18/2026 4:56:57 AM ::1 Returned 200 in 3 ms
 HTTP  5/18/2026 4:56:57 AM ::1 Returned 200 in 4 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /card.html?c=eyJ0IjoiRGF5IGluIHRoZSBQYXJrIEJpbmdvIiwidyI6IkZsb3dlcnMsQmVlcyxQaWNuaWNrZXJzLEFudHMsTGl0dGxlIEtpZCBDcnlpbmcsSG9sZGluZyBIYW5kcyxQZXJzb24gTmFwcGluZyxBIEJhbGxvb24sRG9ncyxGcmlzYmVlLFN0cm9sbGVyLENoZXNzIFBsYXllcnMsUm9sbGVyc2thdGVzLE11c2ljaWFuLEp1Z2dsZXIsUGhvdG9ncmFwaGVyLFBhaW50ZXIsUGxhc3RpYyBCYWcgaW4gVHJlZSxTcXVpcnJlbCxQaWdlb24sQmljeWNsZSBCdWlsdCBmb3IgVHdvLEljZSBDcmVhbSxTdW5iYXRoZXIsUGVyc29uIFJlYWRpbmcgTmV3c3BhcGVyLFBlcnNvbiBMaXN0ZW5pbmcgdG8gUmFkaW8sU2lkZXdhbGsgQ2hhbGssSG9wc2NvdGNoIiwid2kiOjUsImgiOjUsImYiOjEsImZ2IjoiUGFyayBCZW5jaCIsImZzIjoiRnJlZSBTcGFjZSIsImZyIjowfQ==
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 301 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /card
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 200 in 4 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /css/style.css
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /js/bingo-core.js
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /js/storage.js
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 5 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /assets/images/daub1.png
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 200 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /sw.js
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 200 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /card.html
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 301 in 0 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /css/style.css
 HTTP  5/18/2026 4:56:58 AM ::1 GET /js/bingo-core.js
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 2 ms
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /card
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /js/storage.js
 HTTP  5/18/2026 4:56:58 AM ::1 GET /assets/images/icon.svg
 HTTP  5/18/2026 4:56:58 AM ::1 GET /assets/images/daub1.png
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 200 in 3 ms
 HTTP  5/18/2026 4:56:58 AM ::1 GET /manifest.json
 HTTP  5/18/2026 4:56:58 AM ::1 Returned 200 in 2 ms
 HTTP  5/18/2026 4:57:02 AM ::1 GET /
 HTTP  5/18/2026 4:57:02 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:57:03 AM ::1 GET /sw.js
 HTTP  5/18/2026 4:57:03 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:57:04 AM ::1 GET /card
 HTTP  5/18/2026 4:57:04 AM ::1 Returned 304 in 2 ms
 HTTP  5/18/2026 4:57:05 AM ::1 GET /sw.js
 HTTP  5/18/2026 4:57:05 AM ::1 Returned 304 in 1 ms
 HTTP  5/18/2026 4:58:56 AM ::1 GET /
 HTTP  5/18/2026 4:58:56 AM ::1 Returned 200 in 3 ms
 HTTP  5/18/2026 4:58:56 AM ::1 GET /css/style.css
 HTTP  5/18/2026 4:58:56 AM ::1 Returned 200 in 1 ms
 HTTP  5/18/2026 4:58:56 AM ::1 GET /js/bingo-core.js
 HTTP  5/18/2026 4:58:56 AM ::1 GET /js/storage.js
 HTTP  5/18/2026 4:58:56 AM ::1 Returned 200 in 4 ms
 HTTP  5/18/2026 4:58:56 AM ::1 Returned 200 in 2 ms
